english,bodo,mizo,category
काली पट्टी,blackboard,board dum,Translation
सफेद पट्टी,whiteboard,board var,Translation
बोर्ड,board,board,Translation
सुफुर,chalk,chalk,Translation
मेसनाय,eraser,eraser,Translation
खुनदै,ruler,scale,Translation
पुस्तकालय,library,library,Translation
लैब,lab,lab,Translation
विषय,subject,zirthing,Translation
गणित,math,mathematics,Translation
विज्ञान,science,science,Translation
इतिहास,history,history,Translation
भूगोल,geography,geography,Translation
भाषा,language,language,Translation
कला,arts,arts,Translation
खेल,sport,sport,Translation
संगीत,music,music,Translation
कंप्यूटर,computer,computer,Translation
बोडो,bodo,bodo,Translation
मिजो,mizo,mizo,Translation
मातृभाषा,mother tongue,mother language,Translation
क्षेत्रीय भाषा,regional language,region language,Translation
होमवर्क,homework,hriselna thawn,Translation
परीखा,exam,inkhawm thleng,Translation
सवाल,question,zawhna,Translation
अभ्यास,practice,practice,Translation
उदाहरण,example,example,Translation
व्यायाम,exercise,thawk,Translation
परियोजना,project,project,Translation
समूह,group,group,Translation
जोड़ी,pair,paihra,Translation
प्रस्तुति,presentation,presentation,Translation
कार्य,assignment,thawk,Translation
रिपोर्ट,report,report,Translation
प्रश्नोत्तरी,quiz,quiz,Translation
पुनरावृत्ति,revision,review,Translation
सारांश,summary,summary,Translation
नोट्स,notes,notes,Translation
शब्दकोश,dictionary,dictionary,Translation
पर्यायवाची,thesaurus,thesaurus,Translation
उदाहरण वाक्य,example sentence,sentence example,Translation
अभ्यास प्रश्न,practice question,practice zawhna,Translation
कक्षा,class,class,Translation
घंटा,period,darkar,Translation
विश्राम,break,rest,Translation
दोपहर का खाना,lunch,tlêm chaw,Translation
सभा,assembly,assembly,Translation
अवकाश,vacation,ni an,Translation
अवधि,term,term,Translation
सेमेस्टर,semester,semester,Translation
वार्षिक,yearly,kum,Translation
मासिक,monthly,thla,Translation
साप्ताहिक,weekly,kar,Translation
दैनिक,daily,ni,Translation
समय,time,hun,Translation
आज,today,tun ni,Translation
कल,tomorrow,tukleha,Translation
अभी,now,nisa,Translation
बाद में,later,hnua la,Translation
जल्द,soon,tui zet,Translation
हमेशा,always,zawng zawng,Translation
कभी नहीं,never,aih lo,Translation
कभी-कभी,sometimes,diw diw,Translation
अक्सर,often,nasa nasa,Translation
कम,rarely,hlem,Translation
आमतौर पर,usually,nasa zawk,Translation
फिर,again,thawh,Translation
सुबह,morning,zing,Translation
दोपहर,afternoon,tlêm,Translation
शाम,evening,zan tlêm,Translation
रात,night,zan,Translation
दिन,day,ni,Translation
सप्ताह,week,kar,Translation
महीना,month,thla,Translation
साल,year,kum,Translation
मिनट,minute,minute,Translation
समय सीमा,deadline,hun khat,Translation
देय,due,hun lo,Translation
देर,late,tling,Translation
तुरंत,immediate,nisa,Translation
उपस्थिति,attendance,lo,Translation
मौजूद,present,lo,Translation
अनुपस्थित,absent,aih lo,Translation
अनुमति,permission,duh,Translation
लोग,people,mi,Translation
माता,mother,nu,Translation
पिता,father,pa,Translation
भाई,brother,naupa,Translation
बहन,sister,thlai,Translation
पुत्र,son,fapa,Translation
पुत्री,daughter,fate,Translation
दादा,grandfather,tetu,Translation
दादी,grandmother,pui,Translation
चाचा,uncle,nau pa,Translation
चाची,aunt,nau nu,Translation
पति,husband,pa,Translation
पत्नी,wife,nu,Translation
बच्चा,child,naupang,Translation
शिशु,baby,naupang te,Translation
परिवार,family,pui,Translation
घर,home,in,Translation
गांव,village,zaitu,Translation
कस्बा,town,town,Translation
शहर,city,khawpui,Translation
राज्य,state,hmun,Translation
देश,country,ram,Translation
राजधानी,capital,khawpui ber,Translation
सड़क,street,lam,Translation
रास्ता,road,kawng,Translation
पता,address,hmun,Translation
फोन,phone,phone,Translation
ईमेल,email,email,Translation
अभिभावक,guardian,enkawl,Translation
नाम,name,hming,Translation
आयु,age,ni zat,Translation
लिंग,gender,pa nu,Translation
रोल नंबर,roll number,phal zat,Translation
पहचान पत्र,ID card,ID card,Translation
स्थान,place,hmun,Translation
बैंक,bank,bank,Translation
डाकघर,post office,post office,Translation
अस्पताल,hospital,hospital,Translation
क्लिनिक,clinic,clinic,Translation
दवाखाना,pharmacy,pharmacy,Translation
पुलिस स्टेशन,police station,police station,Translation
अग्निशमन स्टेशन,fire station,fire station,Translation
बस स्टॉप,bus stop,bus stop,Translation
रेलवे स्टेशन,train station,train station,Translation
हवाई अड्डा,airport,airport,Translation
स्टेशन,station,station,Translation
बाजार,market,market,Translation
दुकान,shop,shop,Translation
वाहन,vehicle,motor,Translation
कार,car,motor,Translation
बस,bus,bus,Translation
ट्रेन,train,train,Translation
साइकिल,bicycle,baisakul,Translation
मोटरबाइक,motorbike,motorbike,Translation
ट्रक,truck,truck,Translation
टैक्सी,taxi,taxi,Translation
नाव,boat,lawng,Translation
जहाज,ship,ship,Translation
हवाई जहाज,plane,plane,Translation
टिकट,ticket,ticket,Translation
किराया,fare,thlan,Translation
खाना,food,chaw,Translation
चावल,rice,buh,Translation
ब्रेड,bread,puawn,Translation
पानी,water,tui,Translation
दूध,milk,tui tul,Translation
चाय,tea,ti,Translation
कॉफी,coffee,coffee,Translation
जूस,juice,juice,Translation
अंडा,egg,arhte,Translation
मांस,meat,sa,Translation
मछली,fish,sangha,Translation
चिकन,chicken,ar,Translation
फल,fruit,thei,Translation
सब्जी,vegetable,thing hring,Translation
नमक,salt,chi,Translation
शक्कर,sugar,chhe,Translation
मसाला,spice,ka,Translation
तेल,oil,thau,Translation
माखन,butter,sak puan,Translation
शहद,honey,khuai,Translation
नाश्ता,breakfast,zing chaw,Translation
रात का खाना,dinner,zan chaw,Translation
मेनू,menu,menu,Translation
कीमत,price,thlan,Translation
शाकाहारी,vegetarian,thing hring ei,Translation
पैसा,money,sum,Translation
ग्राहक,customer,customer,Translation
रसीद,receipt,receipt,Translation
बिल,bill,bill,Translation
बटुआ,wallet,wallet,Translation
कपड़े,clothes,thawhtute,Translation
शर्ट,shirt,shirt,Translation
पैंट,pants,pants,Translation
स्कर्ट,skirt,skirt,Translation
ड्रेस,dress,dress,Translation
जूता,shoe,kengkawng,Translation
मोजे,socks,socks,Translation
टोपी,hat,lukawng,Translation
कैप,cap,cap,Translation
बैग,bag,khaw,Translation
बोतल,bottle,bottle,Translation
गिलास,glass,glass,Translation
प्लेट,plate,bel,Translation
चम्मच,spoon,theikhia,Translation
कांटा,fork,fork,Translation
चाकू,knife,hrai,Translation
कप,cup,khawm,Translation
वाक्य,sentence,sawipui,Translation
अनुच्छेद,paragraph,chhiarphung,Translation
शब्द,word,thilpek,Translation
मुहावरा,phrase,phrase,Translation
शब्दावली,vocabulary,vocabulary,Translation
व्याकरण,grammar,grammar,Translation
क्रिया,verb,verb,Translation
संज्ञा,noun,noun,Translation
विशेषण,adjective,adjective,Translation
क्रियाविशेषण,adverb,adverb,Translation
सर्वनाम,pronoun,pronoun,Translation
पूर्वसर्ग,preposition,preposition,Translation
संयोजक,conjunction,conjunction,Translation
लेख,article,article,Translation
विराम चिह्न,punctuation,punctuation,Translation
बड़ा अक्षर,capital letter,capital letter,Translation
छोटा अक्षर,lowercase,lowercase,Translation
वर्णमाला,alphabet,alphabet,Translation
अक्षर,letter,letter,Translation
अर्थ,meaning,awmzia,Translation
परिभाषा,definition,definition,Translation
वर्तनी,spelling,spelling,Translation
उच्चारण,pronunciation,pronunciation,Translation
समानार्थी,synonym,same word,Translation
विलोम,antonym,opposite,Translation
अनुवाद करो,translate to,translate la,Translation
से अनुवाद,translate from,atanga translate,Translation
अनुवाद,translation,translate,Translation
धीरे बोलो,speak slowly,zawi deuh in sawi,Translation
स्पष्ट बोलो,speak clearly,sawi dik,Translation
मेरे बाद दोहराओ,repeat after me,ka hnua nawn rawh,Translation
सुनो और दोहराओ,listen and repeat,ngai le nawn rawh,Translation
जोर से जवाब दो,answer loudly,ko leng chhan pe,Translation
साफ लिखो,write neatly,ziak thianghlim,Translation
स्पष्ट लिखो,write clearly,ziak dik,Translation
लेबल,label,label,Translation
आरेख,diagram,diagram,Translation
विपरीत करो,contrast,se cia siam rawh,Translation
विश्लेषण करो,analyse,zir thang rawh,Translation
सारांश दो,summarize,summary siam rawh,Translation
भविष्यवाणी करो,predict,hmachuah siam rawh,Translation
परिकल्पना,hypothesis,hypothesis,Translation
प्रयोग,experiment,experiment,Translation
देखो,observe,en rawh,Translation
मापो,measure,teh rawh,Translation
दर्ज करो,record,ziak rawh,Translation
आंकड़े,data,data,Translation
ग्राफ,graph,graph,Translation
तालिका,table,table,Translation
चार्ट,chart,chart,Translation
नक्शा,map,map,Translation
मॉडल,model,model,Translation
सामग्री,material,material,Translation
उपकरण,tool,tool,Translation
सुरक्षा,safety,safety,Translation
नियम,rule,rule,Translation
निर्देश,instruction,instruction,Translation
दिशा,direction,kawng,Translation
प्रक्रिया,procedure,procedure,Translation
विधि,method,method,Translation
परिणाम,result,result,Translation
निष्कर्ष,conclusion,conclusion,Translation
चर्चा,discussion,discussion,Translation
प्रस्तुति कौशल,presentation skills,presentation skills,Translation
आत्मविश्वास,confidence,confidence,Translation
भागीदारी,participation,participation,Translation
व्यवहार,behaviour,behaviour,Translation
अनुशासन,discipline,discipline,Translation
सम्मान,respect,respect,Translation
अंकन,marking,marking,Translation
प्रतिक्रिया,feedback,feedback,Translation
टिप्पणी,comment,comment,Translation
अनुमति मांगो,ask permission,duh zawt rawh,Translation
हाथ उठाओ,raise hand,kut kalh rawh,Translation
बारी लो,take turns,hun hun ka thi rawh,Translation
धोखा,cheat,cheat,Translation
सहयोग,collaborate,collaborate,Translation
तकनीक,technology,technology,Translation
वेबसाइट,website,website,Translation
इंटरनेट,internet,internet,Translation
ऑफलाइन,offline,offline,Translation
ऑनलाइन,online,online,Translation
संदेश,message,message,Translation
चैट,chat,chat,Translation
वीडियो कॉल,video call,video call,Translation
कैमरा,camera,camera,Translation
माइक्रोफोन,microphone,microphone,Translation
स्पीकर,speaker,speaker,Translation
स्क्रीन,screen,screen,Translation
कीबोर्ड,keyboard,keyboard,Translation
माउस,mouse,mouse,Translation
प्रिंटर,printer,printer,Translation
स्कैनर,scanner,scanner,Translation
यूएसबी,USB,USB,Translation
फाइल,file,file,Translation
फोल्डर,folder,folder,Translation
दस्तावेज़,document,document,Translation
फाइल खोलो,open file,file hawng rawh,Translation
पासवर्ड,password,password,Translation
उपयोगकर्ता नाम,username,username,Translation
सेटिंग्स,settings,settings,Translation
ऐप,app,app,Translation
खांनो,can,thei,Translation
खांनो होयो,could,thei ang,Translation
खांनो बाहाय,might,thei ang,Translation
आं दङ,am,ka ni,Translation
होनो,was,a ni ta,Translation
होयायनाय,being,ni mek,Translation
होनो आरो,had,a nei ta,Translation
आरोनाय,having,nei mek,Translation
होनो थां,did,a tih ta,Translation
थां दङ,doing,tih mek,Translation
थांखो,because,chuvang,Translation
होयो दिनाय,although,mahse,Translation
बेलाथाव,while,hun lai,Translation
नाङा होयो,unless,aih lo chu chu,Translation
कारण से,because of,chuvang,Translation
ताकि,in order to,chuvang,Translation
जैसे,as if,ngai thla,Translation
जब तक,as long as,hun lai,Translation
जैसे ही,as soon as,chu chu,Translation
भले ही,even if,chu chu dey,Translation
हालांकि,however,mahse,Translation
इसलिए,therefore,chuvang,Translation
इस प्रकार,thus,chuvang,Translation
इसके अलावा,besides,a thui le,Translation
मावनो,when,engtin,Translation
माबाव,why,engvangin,Translation
जोबोन,how,engtin,Translation
जोबोन नम्बर,how many,engzat,Translation
जोबोन सान,how much,engzat,Translation
अधिक,more,nasa,Translation
बहुत,many,nasa,Translation
सब,all,zawng zawng,Translation
कुछ,some,emaw,Translation
कोई नहीं,none,aih,Translation
हर,every,kumsa kumsa,Translation
प्रत्येक,each,kumsa kumsa,Translation
दोनों,both,pahnih,Translation
कोई भी,either,emaw,Translation
न तो,neither,aih loah,Translation
अन्य,other,dang,Translation
और,another,dang,Translation
अं,yes,awle,Translation
नङा,no,aih,Translation
ठीक,ok,ok,Translation
सहमत,agreed,ok ta,Translation
असहमत,disagree,dik lo,Translation
chu,the,बे,Translation
pakhat,a,सै,Translation
chungah,in,आव,Translation
chunga,on,आव गुबुन,Translation
ah,at,आव,Translation
ta,of,नि,Translation
atanga,from,नायनो,Translation
nen,with,लानो,Translation
telin,without,बानाय,Translation
hmangin,by,जों,Translation
chung ah,into,आव गोजौथिनो,Translation
a chung,over,मुंथाय,Translation
chhuak,out,सोहाय,Translation
sang,up,मुंथाय,Translation
hniam,down,नामथाय,Translation
eng,about,मा,Translation
inkarah,between,दो आव गुबुनथाव,Translation
khaw chunga,among,गुबुनसोनो,Translation
hmain,before,आगाथाव,Translation
hnua,after,उनाव,Translation
pawnah,around,गुबुनथाय,Translation
kawl tuiloh,outside,बोहाय,Translation
thang,far,गुर मायनो,Translation
chhuk,left,दिनाय,Translation
dik,right,गोजौ,Translation
taksa,center,बिसार,Translation
kei,I,आं,Translation
nang,you,नं,Translation
ama,he,बि,Translation
ani,she,बि,Translation
kan,we,बे,Translation
anni,they,बिफां,Translation
ka,my,आंनि,Translation
tu,who,सोर,Translation
eng nge,which,मो,Translation
tu ta,whose,सोरनि,Translation
ni,be,होयो,Translation
nei,have,आरो,Translation
tih,do,थां,Translation
kal,go,होयो,Translation
lo,come,लाबो,Translation
sawi,say,फार,Translation
siam,make,सिर्गुन,Translation
pe rawh,give,दों,Translation
lo la,take,खाय,Translation
hmu,see,नायदोन,Translation
hrethiam,know,मोजान,Translation
thiam,think,मोनो होयो,Translation
duh,want,गोनांथि,Translation
hman,use,बाहाय,Translation
hmuh rawh,find,खोजो,Translation
thawk,work,गोब थ,Translation
bei,try,नायदोनाय,Translation
dah,leave,छुट्टी,Translation
awmzia,mean,मानथाय दङ,Translation
thei,let,हायो,Translation
tan,begin,होनना,Translation
tihdam rawh,help,मदद थ,Translation
mamawh,need,गोनांथि,Translation
lung,feel,मोनो दङ,Translation
ngaithla,seem,नायदोन दङ,Translation
chhiar,read,पाठ,Translation
ziak,write,लिर,Translation
ngai,listen,नुं,Translation
thusawi,speak,फोथाय,Translation
zir,learn,होनना,Translation
zirtir hman,teach,उखार,Translation
hawng,open,खुला,Translation
khum rawh,close,बोन,Translation
thu,sit,फुं,Translation
ding,stand,दिंना,Translation
tlan,run,रेबगोन,Translation
zuang,jump,फार,Translation
kalh rawh,raise,थोन,Translation
hniam rawh,lower,नामथिनो,Translation
chhut rawh,calculate,गणना करो,Translation
chinfel rawh,solve,हल करो,Translation
sawifiah rawh,explain,समझाओ,Translation
hriazaih rawh,describe,वर्णन करो,Translation
zirtlai rawh,compare,तुलना करो,Translation
enfin rawh,check,सायगोन,Translation
translate rawh,translate,अनुवाद थ,Translation
spell rawh,spell,स्पेलिंग थ,Translation
sawi dik rawh,pronounce,उच्चार थ,Translation
sign rawh,highlight,चिन्ह थ,Translation
line rawh,underline,रेखा खींचना,Translation
thiangvawl,circle,गोल,Translation
kawng rawh,cross,खींचना,Translation
hmun hnuai rawh,lead,आगे बढना,Translation
hnua a kal rawh,follow,पीछे चलना,Translation
sem rawh,share,साझा करो,Translation
chhap rawh,stop,रुकना,Translation
tan rawh,start,शुरू करना,Translation
khap la rawh,pause,रुकना,Translation
chhung zel rawh,continue,जारी रखना,Translation
zawt rawh,ask,पूछना,Translation
chhan,answer,जवाब,Translation
ngai thil takin,listen carefully,ध्यान से सुनना,Translation
ngaithla rawh,pay attention,ध्यान देना,Translation
nawn rawh,repeat,दोहराना,Translation
chhiar rawh,read aloud,जोर से पढना,Translation
dâwiin chhiar rawh,silent reading,चुप पढना,Translation
group thawk rawh,group work,समूह में काम,Translation
paihra thawk rawh,pair work,जोड़ी में काम,Translation
project thawk rawh,project work,परियोजना काम,Translation
tho rawh,wake up,जाग जाना,Translation
thawk rawh,get up,उठ जाना,Translation
mut rawh,sleep,सोना,Translation
chaw siam,cook,पकाना,Translation
la,buy,खरीदना,Translation
thleng,sell,बेचना,Translation
sum pe,pay,भुगतान,Translation
dah rawh,save,सहेजो,Translation
tih dah rawh,delete,हटाओ,Translation
copy siam rawh,copy,नकल करो,Translation
paste siam rawh,paste,चिपकाओ,Translation
hun siam,schedule,समय सारणी,Translation
lo rawh,attend,उपस्थित होना,Translation
en,visit,दौरा,Translation
kal lo,travel,यात्रा,Translation
tha,good,गोजौ,Translation
tha lo,bad,गोरलाव,Translation
lian,big,गोडां,Translation
te,small,गिदिर,Translation
thar,new,गोनां आव,Translation
ni tang,old,बुजुर्ग,Translation
chak,fast,फोरां,Translation
zawi,slow,लायो,Translation
fiam,easy,सालां,Translation
huna,difficult,नाङथाइ,Translation
lum,hot,गोलाव,Translation
vawt,cold,गान,Translation
lum awl,warm,गोलाव,Translation
vawt awl,cool,गान,Translation
sei,long,जौगा,Translation
tawi,short,छोटा,Translation
hlim,happy,गोनां,Translation
ngai dam,sad,दुःख,Translation
thianghlim,clean,सुगु,Translation
bo,dirty,मायरा,Translation
chakawm,strong,गुसुम,Translation
tawtchhuah,weak,बोसोर,Translation
dik lo,wrong,मोनो,Translation
dik leiah,same,बे दिनाय नां,Translation
se cia,different,बे दिनाय,Translation
pawimawh,important,गोनां लै,Translation
duh hmasa,optional,इच्छानुसार,Translation
tur,required,अनिवार्य,Translation
bo hlim,rude,अशिष्ट,Translation
tihdam bik,helpful,सहायक,Translation
khat theuh,cooperative,सहयोगी,Translation
enkawl a tlaih,responsible,जिम्मेदार,Translation
hun dik,punctual,समय पर,Translation
an dik,honest,सच्चा,Translation
ko leng,loud,ऊंचा आवाज,Translation
dâwiin,quiet,शांत,Translation
dum,dark,अंधकार,Translation
tui kaih,wet,भीगा,Translation
khup,dry,सूखा,Translation
kumhel,full,भरा,Translation
awl ang,empty,खाली,Translation
rit,heavy,भारी,Translation
awlsam,light,हल्का,Translation
chi,hard,कठोर,Translation
sual,rough,खुरदुरा,Translation
lo chak,dull,मंद,Translation
mithei,sweet,मीठा,Translation
chhe,sour,खट्टा,Translation
thit,rotten,सड़ा,Translation
tinah,young,युवा,Translation
sang lei,wide,चौड़ा,Translation
tawi lei,narrow,संकीर्ण,Translation
khum,closed,बंद,Translation
sum leng,expensive,महंगा,Translation
sum nung,cheap,सस्ता,Translation
tha tak,excellent,बेहतरीन,Translation
thawk tha,well done,अच्छा किया,Translation
bei thawh ang,try again,फिर कोशिश करो,Translation
tihchangtlun rawh,improve,सुधार,Translation
sen,red,लुबा,Translation
dum hring,blue,गुनाउ,Translation
hring,green,गिसिन,Translation
var,white,फुथार,Translation
vawk,brown,दाम रोङ,Translation
sen dum,purple,बेगुनि,Translation
var dum,gray,सोहाय रोङ,Translation
senai,gold,सुनहरा,Translation
silfar,silver,चाँदी,Translation
lei,width,चौड़ाई,Translation
um,depth,गहराई,Translation
hmun zat,area,क्षेत्रफल,Translation
vol,volume,आयतन,Translation
phal,number,नम्बर,Translation
khat,one,सै,Translation
pahnih,two,नै,Translation
pathum,three,थाम,Translation
pali,four,ब्राय,Translation
panga,five,बा,Translation
ruk,six,रो,Translation
sarih,seven,श्नि,Translation
riat,eight,जात,Translation
kua,nine,स्कौ,Translation
sawm,ten,दस,Translation
sawm pahnih,twenty,कुइ,Translation
sawm thum,thirty,तिनकुइ,Translation
sawm pali,forty,ब्राइकुइ,Translation
sawm panga,fifty,बायकुइ,Translation
za,hundred,सै,Translation
za nget,thousand,हजार,Translation
hmasa,first,गिबि,Translation
pathumna,third,तीसरा,Translation
hnua la,next,आगामी,Translation
hmain la,previous,पिछला,Translation
zirtirtu,teacher,उखार,Translation
zirlaite,student,सुबुं,Translation
sorkar,principal,प्रधानाचार्य,Translation
guide,mentor,मार्गदर्शक,Translation
classroom midang,classmate,सहपाठी,Translation
thian,friend,गिबिर,Translation
lehkhabu,book,किताब,Translation
tawltlang,desk,तेबुल,Translation
tumbawh,chair,फुंसा,Translation
board dum,blackboard,काली पट्टी,Translation
board var,whiteboard,सफेद पट्टी,Translation
scale,ruler,खुनदै,Translation
zirthing,subject,विषय,Translation
mathematics,math,गणित,Translation
mother language,mother tongue,मातृभाषा,Translation
region language,regional language,क्षेत्रीय भाषा,Translation
hriselna thawn,homework,होमवर्क,Translation
inkhawm thleng,exam,परीखा,Translation
zawhna,question,सवाल,Translation
paihra,pair,जोड़ी,Translation
review,revision,पुनरावृत्ति,Translation
sentence example,example sentence,उदाहरण वाक्य,Translation
practice zawhna,practice question,अभ्यास प्रश्न,Translation
darkar,period,घंटा,Translation
rest,break,विश्राम,Translation
tlêm chaw,lunch,दोपहर का खाना,Translation
ni khum,holiday,छुट्टी,Translation
ni an,vacation,अवकाश,Translation
kum,yearly,वार्षिक,Translation
thla,monthly,मासिक,Translation
kar,weekly,साप्ताहिक,Translation
hun,time,समय,Translation
tun ni,today,आज,Translation
tukleha,tomorrow,कल,Translation
zanin,yesterday,कल,Translation
nisa,now,अभी,Translation
tui zet,soon,जल्द,Translation
zawng zawng,always,हमेशा,Translation
aih lo,never,कभी नहीं,Translation
diw diw,sometimes,कभी-कभी,Translation
nasa nasa,often,अक्सर,Translation
hlem,rarely,कम,Translation
nasa zawk,usually,आमतौर पर,Translation
thawh,again,फिर,Translation
zing,morning,सुबह,Translation
tlêm,afternoon,दोपहर,Translation
zan tlêm,evening,शाम,Translation
zan,night,रात,Translation
hun khat,deadline,समय सीमा,Translation
hun lo,due,देय,Translation
tling,late,देर,Translation
mi,people,लोग,Translation
nu,mother,माता,Translation
pa,father,पिता,Translation
naupa,brother,भाई,Translation
thlai,sister,बहन,Translation
fapa,son,पुत्र,Translation
fate,daughter,पुत्री,Translation
tetu,grandfather,दादा,Translation
pui,grandmother,दादी,Translation
nau pa,uncle,चाचा,Translation
nau nu,aunt,चाची,Translation
naupang,child,बच्चा,Translation
naupang te,baby,शिशु,Translation
zaitu,village,गांव,Translation
khawpui,city,शहर,Translation
hmun,state,राज्य,Translation
ram,country,देश,Translation
khawpui ber,capital,राजधानी,Translation
lam,street,सड़क,Translation
kawng,road,रास्ता,Translation
enkawl,guardian,अभिभावक,Translation
hming,name,नाम,Translation
ni zat,age,आयु,Translation
pa nu,gender,लिंग,Translation
phal zat,roll number,रोल नंबर,Translation
motor,vehicle,वाहन,Translation
baisakul,bicycle,साइकिल,Translation
lawng,boat,नाव,Translation
thlan,fare,किराया,Translation
chaw,food,खाना,Translation
buh,rice,चावल,Translation
puawn,bread,ब्रेड,Translation
tui,water,पानी,Translation
tui tul,milk,दूध,Translation
ti,tea,चाय,Translation
arhte,egg,अंडा,Translation
sa,meat,मांस,Translation
sangha,fish,मछली,Translation
ar,chicken,चिकन,Translation
thing hring,vegetable,सब्जी,Translation
thau,oil,तेल,Translation
sak puan,butter,माखन,Translation
khuai,honey,शहद,Translation
zing chaw,breakfast,नाश्ता,Translation
zan chaw,dinner,रात का खाना,Translation
chaw te,snack,नाश्ता,Translation
thing hring ei,vegetarian,शाकाहारी,Translation
sum,money,पैसा,Translation
thawhtute,clothes,कपड़े,Translation
kengkawng,shoe,जूता,Translation
lukawng,hat,टोपी,Translation
khaw,bag,बैग,Translation
bel,plate,प्लेट,Translation
theikhia,spoon,चम्मच,Translation
hrai,knife,चाकू,Translation
khawm,cup,कप,Translation
sawipui,sentence,वाक्य,Translation
chhiarphung,paragraph,अनुच्छेद,Translation
thilpek,word,शब्द,Translation
same word,synonym,समानार्थी,Translation
opposite,antonym,विलोम,Translation
translate la,translate to,अनुवाद करो,Translation
atanga translate,translate from,से अनुवाद,Translation
zawi deuh in sawi,speak slowly,धीरे बोलो,Translation
sawi dik,speak clearly,स्पष्ट बोलो,Translation
ka hnua nawn rawh,repeat after me,मेरे बाद दोहराओ,Translation
ngai le nawn rawh,listen and repeat,सुनो और दोहराओ,Translation
ko leng chhan pe,answer loudly,जोर से जवाब दो,Translation
ziak thianghlim,write neatly,साफ लिखो,Translation
ziak dik,write clearly,स्पष्ट लिखो,Translation
se cia siam rawh,contrast,विपरीत करो,Translation
zir thang rawh,analyse,विश्लेषण करो,Translation
summary siam rawh,summarize,सारांश दो,Translation
hmachuah siam rawh,predict,भविष्यवाणी करो,Translation
en rawh,observe,देखो,Translation
teh rawh,measure,मापो,Translation
ziak rawh,record,दर्ज करो,Translation
duh zawt rawh,ask permission,अनुमति मांगो,Translation
kut kalh rawh,raise hand,हाथ उठाओ,Translation
hun hun ka thi rawh,take turns,बारी लो,Translation
file hawng rawh,open file,फाइल खोलो,Translation
thei ang,could,खांनो होयो,Translation
ang,will,गोनां,Translation
ngei tur,must,गोनांथि,Translation
ka ni,am,आं दङ,Translation
a ni,is,आरो,Translation
an ni,are,आरो,Translation
a ni ta,was,होनो,Translation
an ni ta,were,होनो,Translation
ni mek,being,होयायनाय,Translation
ni ta,been,होयो,Translation
a nei,has,आरो,Translation
a nei ta,had,होनो आरो,Translation
nei mek,having,आरोनाय,Translation
a tih,does,थां,Translation
a tih ta,did,होनो थां,Translation
tih mek,doing,थां दङ,Translation
leh,and,आरो,Translation
emaw,or,बा,Translation
mahse,but,दिनाय,Translation
chuvang,because,थांखो,Translation
hun lai,while,बेलाथाव,Translation
chu chu,if,बा,Translation
aih lo chu chu,unless,नाङा होयो,Translation
ngai thla,as if,जैसे,Translation
chu chu dey,even if,भले ही,Translation
a thui le,besides,इसके अलावा,Translation
engtin,when,मावनो,Translation
engvangin,why,माबाव,Translation
engzat,how many,जोबोन नम्बर,Translation
nasa,more,अधिक,Translation
aih,none,कोई नहीं,Translation
kumsa kumsa,every,हर,Translation
aih loah,neither,न तो,Translation
dang,other,अन्य,Translation
awle,yes,अं,Translation
ok ta,agreed,सहमत,Translation
priya,प्रिया,Priya,Names
rakesh,राकेश,Rakesh,Names
anjali,अंजली,Anjali,Names
rahul,राहुल,Rahul,Names
kiran,किरण,Kiran,Names
aditi,अदिति,Aditi,Names
suman,सुमन,Suman,Names
manoj,मनोज,Manoj,Names
reena,रीना,Reena,Names
india,इन्डिया,India,Place Names
assam,असम,Assam,Place Names
mizoram,मिजोरम,Mizoram,Place Names
delhi,दिल्ली,Delhi,Place Names
mumbai,मुंबई,Mumbai,Place Names
hyderabad,हैदराबाद,Hyderabad,Place Names
guwahati,गुवाहाटी,Guwahati,Place Names
cousin,— (no direct translation),— (no direct translation),Family
neighbor,— (no direct translation),— (no direct translation),Community
broken,टूटा,phramin,Adjectives
bookstore,किताब की दुकान,bookstore,Places
canteen,कैंटीन,canteen,School Places
playground,खेल का मैदान,playground,School Places
hostel,छात्रावास,hostel,School Places
honesty,ईमानदारी,honesty,Personal Values
responsibility,जिम्मेदारी,responsibility,Personal Values
creative,रचनात्मक,creative,Adjectives
imagination,कल्पना,imagination,Nouns
success,सफलता,success,Nouns
failure,विफलता,failure,Nouns
effort,प्रयास,effort,Nouns
celebrate,मनाना,celebrate,Verbs
festival,त्योहार,festival,Nouns
undo,पूर्ववत्,undo,Computer
redo,पुनः,redo,Computer
simple,सरल,awlsam,Adjectives
complex,जटिल,complex,Adjectives
north,उत्तर,north,Direction
south,दक्षिण,south,Direction
east,पूर्व,east,Direction
west,पश्चिम,west,Direction
route,मार्ग,route,Travel
leader,नेता,leader,Nouns
team,दल,team,Nouns
member,सदस्य,member,Nouns
winner,विजेता,winner,Nouns
loser,हारने वाला,loser,Nouns
training,प्रशिक्षण,training,Nouns
certificate,प्रमाणपत्र,certificate,School
degree,डिग्री,degree,School
admission,प्रवेश,admission,School
application,आवेदन,application,School
interview,साक्षात्कार,interview,School
rank,रैंक,rank,School
scholarship,छात्रवृत्ति,scholarship,School
fee,फीस,fee,School
ticket counter,टिकट काउंटर,ticket counter,Travel
pilot,पायलट,pilot,Occupations
driver,चालक,driver,Occupations
passenger,यात्री,passenger,Travel
children,बच्चे,naupang,Family
infant,शिशु,naupang te,Family
adult,वयस्क,adult,Family
elder,बुजुर्ग,elder,Family
